Hello!|Olá!@
How are you?|Como vai você?@
What's up?|E aí?@
I don't know.|Não sei.@
Thank you.|Obrigado.@
You're welcome.|De nada.@
Please.|Por favor.@
Excuse me.|Com licença.@
I'm sorry.|Desculpe.@
Yes.|Sim.@
No.|Não.@
Goodbye.|Adeus.@
See you later.|Até mais.@
Can I help you?|Posso ajudar?@
How's it going?|Como tá indo?@
What do you think?|O que você acha?@
I love you.|Eu te amo.@
What time is it?|Que horas são?@
Where are you from?|De onde você é?@
How much does it cost?|Quanto custa isso?@
I'm hungry.|Estou com fome.@
I'm thirsty.|Estou com sede.@
What's your name?|Qual o seu nome?@
Nice to meet you.|Prazer em conhecê-lo.@
Have a nice day.|Tenha um bom dia.@
I'm tired.|Estou cansado.@
What's your job?|Qual é o seu trabalho?@
It's okay.|Tudo bem.@
Where is the bathroom?|Onde fica o banheiro?@
What's the weather like?|Como está o tempo?@
What's for dinner?|O que tem para o jantar?@
I'm fine.|Estou bem.@
See you tomorrow.|Vejo você amanhã.@
What's your favorite place?|Qual é o seu lugar favorito?@
I don't understand.|Eu não entendo.@
Excuse me, I'm lost.|Com licença, estou perdido.@
How was your day?|Como foi o seu dia?@
I'm busy.|Estou ocupado.@
What's new?|O que há de novo?@
I'm excited.|Estou animado.@
Can you repeat that?|Você pode repetir isso?@
I'm not feeling well.|Eu não estou me sentindo bem.@
What's your phone number?|Qual é o seu número de telefone?@
Let's hang out.|Vamos sair.@
What's the plan?|Qual é o plano?@
Take care.|Tomar cuidado.@
I have a question.|Eu tenho uma pergunta.@
How's your family?|Como está sua família?@
I'm bored.|Estou entediado.@
That's funny.|Que engraçado.@
